reply,label
can u provide case study,neutral
not intrested in service,negative
lets discuss how integrates,positive
plz send pricing guide,neutral
no need for this,negative
id love to see demo,positive
can u share feature list,neutral
not open to vendors,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest in product,negative
im eager to explore,positive
can u provide trial account,neutral
not good fit for team,negative
lets schdule demo next week,positive
plz send technical guide,neutral
no need for solution,negative
id love to review w team,positive
can u share cost breakdown,neutral
not intrest right now,negative
this could be perfect connect,positive
send pricing breakdown plz,neutral
no need in workflow,negative
im excited to see in action,positive
can u share feature roadmap,neutral
not fit for strategy,negative
lets discuss in meeting,positive
plz send support terms,neutral
no intrested in service,negative
id love to learn more,positive
can u provide demo video,neutral
were happy w setup,negative
this sounds great schdule call,positive
send feature comparison plz,neutral
no need for this,negative
im eager to review,positive
can u provide case study,neutral
not open to vendors,negative
lets set up product overview,positive
plz send pricing structure,neutral
no intrest in product,negative
id love to explore solution,positive
can u share cost structure,neutral
not good fit for us,negative
this could streamline send proposal,positive
send demo link plz,neutral
no need for solution,negative
im excited about oppurtunity,positive
can u provide feature list,neutral
not intrest right now,negative
lets discuss how integrates,positive
plz send technical guide,neutral
no need in workflow,negative
id love to see demo,positive
can u share pricing guide,neutral
not fit for strategy,negative
this could be perfect connect,positive
send support terms plz,neutral
no intrested in service,negative
im eager to learn more,positive
can u provide demo video,neutral
were happy w setup,negative
lets schdule demo next week,positive
plz send feature comparison,neutral
no need for this,negative
id love to review w team,positive
can u share cost breakdown,neutral
not open to vendors,negative
this sounds great talk,positive
send pricing breakdown plz,neutral
no intrest in product,negative
im excited to see in action,positive
can u provide case study,neutral
not good fit for team,negative
lets discuss in meeting,positive
plz send feature roadmap,neutral
no need for solution,negative
id love to explore,positive
can u share pricing structure,neutral
not intrest right now,negative
this could streamline send proposal,positive
send demo link plz,neutral
no need in workflow,negative
im eager to review,positive
can u provide trial account,neutral
not fit for strategy,negative
lets set up product overview,positive
plz send technical specs,neutral
no intrested in service,negative
id love to learn more,positive
can u share cost structure,neutral
were happy w setup,negative
this could be perfect connect,positive
send feature comparison plz,neutral
no intrest in product,negative
im excited about oppurtunity,positive
can u provide demo video,neutral
not open to vendors,negative
lets discuss how integrates,positive
plz send pricing guide,neutral
no need for this,negative
id love to see demo,positive
can u share feature list,neutral
not good fit for us,negative
this sounds great schdule call,positive
send support terms plz,neutral
no intrest right now,negative
im eager to explore,positive
can u provide case study,neutral
not fit for strategy,negative
lets schdule demo next week,positive
plz send pricing breakdown,neutral
no need for solution,negative
id love to review w team,positive
can u share cost structure,neutral
were happy w setup,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest in product,negative
im excited to see in action,positive
can u provide feature roadmap,neutral
not open to vendors,negative
lets discuss in meeting,positive
plz send technical guide,neutral
no intrested in service,negative
id love to explore solution,positive
can u share pricing structure,neutral
not good fit for team,negative
this could be perfect send proposal,positive
send feature comparison plz,neutral
no need for this,negative
im eager to learn more,positive
can u provide demo video,neutral
not intrest right now,negative
lets set up product overview,positive
plz send support plan,neutral
no need in workflow,negative
id love to see demo,positive
can u share case study,neutral
were happy w setup,negative
this sounds great connect,positive
send pricing guide plz,neutral
no intrest in product,negative
im excited about oppurtunity,positive
can u provide trial account,neutral
not fit for strategy,negative
lets discuss how integrates,positive
plz send feature list,neutral
no need for solution,negative
id love to review w team,positive
can u share cost breakdown,neutral
not open to vendors,negative
this could streamline send proposal,positive
send demo link plz,neutral
no intrested in service,negative
im eager to explore,positive
can u provide pricing breakdown,neutral
not good fit for us,negative
lets schdule demo next week,positive
plz send technical specs,neutral
no need in workflow,negative
id love to see in action,positive
can u share feature comparison,neutral
not intrest in product,negative
this could be perfect connect,positive
send pricing structure plz,neutral
no need for this,negative
im excited to learn more,positive
can u provide case study,neutral
were happy w setup,negative
lets discuss in meeting,positive
plz send support terms,neutral
no intrest right now,negative
id love to see demo,positive
can u share cost structure,neutral
not fit for strategy,negative
this sounds great schdule call,positive
send feature roadmap plz,neutral
no need for solution,negative
im eager to review,positive
can u provide demo video,neutral
not open to vendors,negative
lets set up product overview,positive
plz send pricing guide,neutral
no intrested in service,negative
id love to explore,positive
can u share feature list,neutral
not good fit for team,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest in product,negative
im excited about oppurtunity,positive
can u provide trial account,neutral
not fit for strategy,negative
lets discuss how integrates,positive
plz send technical guide,neutral
no need in workflow,negative
id love to see in action,positive
can u share pricing breakdown,neutral
were happy w setup,negative
this could be perfect send proposal,positive
send feature comparison plz,neutral
no intrest right now,negative
im eager to learn more,positive
can u provide case study,neutral
not open to vendors,negative
lets schdule demo next week,positive
plz send pricing structure,neutral
no need for this,negative
id love to review w team,positive
can u share cost structure,neutral
not intrested in service,negative
this sounds great connect,positive
send demo link plz,neutral
no need for solution,negative
im excited to see demo,positive
can u provide feature roadmap,neutral
not good fit for us,negative
lets discuss in meeting,positive
plz send support plan,neutral
no intrest in product,negative
id love to explore solution,positive
can u share pricing guide,neutral
not fit for strategy,negative
this could streamline talk,positive
send technical specs plz,neutral
no need in workflow,negative
im eager to review,positive
can u provide demo video,neutral
not open to vendors,negative
lets set up product overview,positive
plz send feature comparison,neutral
no intrest right now,negative
id love to learn more,positive
can u share cost breakdown,neutral
not good fit for team,negative
this could be perfect send proposal,positive
send pricing breakdown plz,neutral
no need for this,negative
im excited about oppurtunity,positive
can u provide case study,neutral
were happy w setup,negative
lets discuss how integrates,positive
plz send feature list,neutral
no intrested in service,negative
id love to see in action,positive
can u share pricing structure,neutral
not open to vendors,negative
this sounds great schdule call,positive
send demo link plz,neutral
no intrest in product,negative
im eager to explore,positive
can u provide trial account,neutral
not fit for strategy,negative
lets schdule demo next week,positive
plz send technical guide,neutral
no need for solution,negative
id love to review w team,positive
can u share cost structure,neutral
not good fit for us,negative
this could streamline connect,positive
send pricing guide plz,neutral
no intrest right now,negative
id love to see demo,positive
can u provide feature comparison,neutral
were happy w setup,negative
this could be perfect talk,positive
send support terms plz,neutral
no need in workflow,negative
im excited about oppurtunity,positive
can u share demo video,neutral
not intrested in service,negative
lets discuss in meeting,positive
plz send feature roadmap,neutral
no need for this,negative
id love to learn more,positive
can u share case study,neutral
not open to vendors,negative
lets set up product overview,positive
plz send pricing breakdown,neutral
no intrest in product,negative
im eager to review,positive
can u share cost structure,neutral
not good fit for team,negative
this could streamline send proposal,positive
send demo link plz,neutral
no need for solution,negative
id love to explore,positive
can u provide trial account,neutral
not fit for strategy,negative
lets schdule demo next week,positive
plz send technical specs,neutral
no intrest right now,negative
id love to see in action,positive
can u share pricing guide,neutral
were happy w setup,negative
this sounds great connect,positive
send feature comparison plz,neutral
no intrested in service,negative
im eager to learn more,positive
can u share demo video,neutral
not open to vendors,negative
lets discuss in meeting,positive
plz send support plan,neutral
no intrest in product,negative
id love to review w team,positive
can u share cost breakdown,neutral
not good fit for us,negative
this could be perfect send proposal,positive
send pricing structure plz,neutral
no need in workflow,negative
im excited about oppurtunity,positive
can u share feature list,neutral
not fit for strategy,negative
lets set up product overview,positive
plz send technical guide,neutral
no need for this,negative
id love to explore solution,positive
can u share case study,neutral
were happy w setup,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest right now,negative
im eager to see demo,positive
can u provide pricing breakdown,neutral
not open to vendors,negative
lets discuss how integrates,positive
plz send feature roadmap,neutral
no intrested in service,negative
id love to learn more,positive
can u share cost structure,neutral
not good fit for team,negative
this sounds great schdule call,positive
send pricing guide plz,neutral
no need for solution,negative
id love to see in action,positive
can u provide demo video,neutral
not intrest in product,negative
lets schdule demo next week,positive
plz send support terms,neutral
no need in workflow,negative
im eager to review,positive
can u share feature comparison,neutral
not fit for strategy,negative
this could be perfect connect,positive
send technical specs plz,neutral
no intrest right now,negative
id love to explore,positive
can u provide case study,neutral
were happy w setup,negative
lets discuss in meeting,positive
plz send pricing structure,neutral
no intrested in service,negative
id love to review w team,positive
can u share cost breakdown,neutral
not open to vendors,negative
this could streamline send proposal,positive
send demo link plz,neutral
no need for this,negative
im excited about oppurtunity,positive
can u provide feature list,neutral
not good fit for us,negative
lets set up product overview,positive
plz send technical guide,neutral
no intrest in product,negative
id love to see demo,positive
can u share pricing guide,neutral
not fit for strategy,negative
this sounds great connect,positive
send support terms plz,neutral
no need for solution,negative
im eager to learn more,positive
can u provide demo video,neutral
were happy w setup,negative
lets discuss how integrates,positive
plz send feature comparison,neutral
no intrest right now,negative
id love to explore solution,positive
can u share cost structure,neutral
not open to vendors,negative
this could be perfect talk,positive
send pricing breakdown plz,neutral
no need in workflow,negative
im excited to see in action,positive
can u provide case study,neutral
not good fit for team,negative
lets schdule demo next week,positive
plz send feature roadmap,neutral
no intrested in service,negative
id love to review,positive
can u share pricing structure,neutral
not fit for strategy,negative
this could streamline send proposal,positive
send demo link plz,neutral
no need for this,negative
im eager to learn more,positive
can u provide trial account,neutral
were happy w setup,negative
lets discuss in meeting,positive
plz send technical specs,neutral
no intrest in product,negative
id love to see demo,positive
can u share cost breakdown,neutral
not open to vendors,negative
this sounds great connect,positive
send pricing guide plz,neutral
no need for solution,negative
im excited about oppurtunity,positive
can u share feature comparison,neutral
not good fit for us,negative
lets set up product overview,positive
plz send support plan,neutral
no intrest right now,negative
id love to explore,positive
can u provide demo video,neutral
not fit for strategy,negative
this could be perfect send proposal,positive
send feature list plz,neutral
no need in workflow,negative
im eager to review,positive
can u share pricing breakdown,neutral
not intrested in service,negative
lets discuss how integrates,positive
plz send technical guide,neutral
no need for this,negative
id love to see in action,positive
can u share cost structure,neutral
were happy w setup,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest in product,negative
im excited to learn more,positive
can u provide case study,neutral
not open to vendors,negative
lets schdule demo next week,positive
plz send feature roadmap,neutral
no intrest right now,negative
id love to explore solution,positive
can u share pricing guide,neutral
not good fit for team,negative
this sounds great connect,positive
send pricing structure plz,neutral
no need for solution,negative
im eager to see demo,positive
can u provide demo video,neutral
not fit for strategy,negative
lets discuss in meeting,positive
plz send support terms,neutral
no intrested in service,negative
id love to review w team,positive
can u share cost breakdown,neutral
not open to vendors,negative
this could be perfect send proposal,positive
send feature comparison plz,neutral
no need in workflow,negative
im excited about oppurtunity,positive
can u provide feature list,neutral
not good fit for us,negative
lets set up product overview,positive
plz send technical specs,neutral
no intrest in product,negative
id love to learn more,positive
can u share pricing breakdown,neutral
were happy w setup,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest right now,negative
im eager to explore,positive
can u provide case study,neutral
not fit for strategy,negative
lets discuss how integrates,positive
plz send pricing guide,neutral
no need for this,negative
id love to see demo,positive
can u share cost structure,neutral
not open to vendors,negative
this sounds great connect,positive
send support plan plz,neutral
no intrested in service,negative
id love to review,positive
can u share feature roadmap,neutral
not good fit for team,negative
lets schdule demo next week,positive
plz send technical guide,neutral
no need for solution,negative
id love to explore solution,positive
can u provide demo video,neutral
were happy w setup,negative
this could be perfect send proposal,positive
send pricing structure plz,neutral
no intrest in product,negative
im excited about oppurtunity,positive
can u share cost breakdown,neutral
not open to vendors,negative
lets discuss in meeting,positive
plz send feature comparison,neutral
no need in workflow,negative
id love to see in action,positive
can u share pricing guide,neutral
not good fit for us,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest right now,negative
im eager to learn more,positive
can u provide case study,neutral
not fit for strategy,negative
lets set up product overview,positive
plz send support terms,neutral
no intrested in service,negative
id love to review w team,positive
can u share cost structure,neutral
were happy w setup,negative
this sounds great connect,positive
send feature list plz,neutral
no need for this,negative
im excited to see demo,positive
can u provide demo video,neutral
not open to vendors,negative
lets discuss how integrates,positive
plz send pricing breakdown,neutral
no intrest in product,negative
id love to explore,positive
can u share feature roadmap,neutral
not good fit for team,negative
this could be perfect send proposal,positive
send technical specs plz,neutral
no need for solution,negative
im eager to review,positive
can u share cost breakdown,neutral
not fit for strategy,negative
lets schdule demo next week,positive
plz send pricing guide,neutral
no intrest right now,negative
id love to see in action,positive
can u provide case study,neutral
were happy w setup,negative
this could streamline talk,positive
send demo link plz,neutral
no intrested in service,negative
im excited about oppurtunity,positive
can u share feature comparison,neutral
not open to vendors,negative
lets discuss in meeting,positive
plz send support plan,neutral
no need in workflow,negative
id love to learn more,positive
can u share cost structure,neutral
not good fit for us,negative
this sounds great connect,positive
send pricing structure plz,neutral
no intrest in product,negative
im eager to explore,positive
can u provide demo video,neutral
not fit for strategy,negative
lets set up product overview,positive
plz send feature list,neutral
no need for this,negative
id love to see demo,positive
can u share pricing breakdown,neutral
were happy w setup,negative
this could be perfect send proposal,positive
send technical guide plz,neutral
no intrest right now,negative
im excited to review,positive
can u provide case study,neutral
not open to vendors,negative
lets discuss how integrates,positive
plz send feature roadmap,neutral
no intrested in service,negative
id love to explore solution,positive
can u share cost structure,neutral
not good fit for team,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest in product,negative
im eager to learn more,positive
can u provide pricing guide,neutral
not fit for strategy,negative
lets schdule demo next week,positive
plz send support terms,neutral
no need for this,negative
id love to see in action,positive
can u share demo video,neutral
were happy w setup,negative
this sounds great connect,positive
send feature comparison plz,neutral
no intrest right now,negative
im excited about oppurtunity,positive
can u provide cost breakdown,neutral
not open to vendors,negative
lets discuss in meeting,positive
plz send pricing structure,neutral
no intrested in service,negative
id love to review w team,positive
can u share feature list,neutral
not good fit for us,negative
this could be perfect send proposal,positive
send technical specs plz,neutral
no need for solution,negative
im eager to explore,positive
can u provide demo video,neutral
not fit for strategy,negative
lets set up product overview,positive
plz send pricing guide,neutral
no intrest in product,negative
id love to see demo,positive
can u share case study,neutral
were happy w setup,negative
this could streamline talk,positive
send demo link plz,neutral
no intrest right now,negative
im excited to learn more,positive
can u provide feature roadmap,neutral
not open to vendors,negative
lets discuss how integrates,positive
plz send support plan,neutral
no intrested in service,negative
id love to review,positive
can u share cost structure,neutral
not good fit for team,negative
this sounds great connect,positive
send pricing breakdown plz,neutral
no need for this,negative
im eager to see demo,positive
can u provide demo video,neutral
not fit for strategy,negative
lets schdule demo next week,positive
plz send feature comparison,neutral
no intrest in product,negative
id love to explore solution,positive
can u share pricing guide,neutral
were happy w setup,negative
this could be perfect send proposal,positive
send technical guide plz,neutral
no intrest right now,negative
im excited about oppurtunity,positive
can u share cost breakdown,neutral
not open to vendors,negative
lets discuss in meeting,positive
plz send feature list,neutral
no intrested in service,negative
id love to learn more,positive
can u share demo video,neutral
not good fit for us,negative
this could streamline talk,positive
send pricing structure plz,neutral
no need for solution,negative
im eager to review,positive
can u provide case study,neutral
not fit for strategy,negative
lets set up product overview,positive
plz send support terms,neutral
no intrest in product,negative
id love to see demo,positive
can u share feature roadmap,neutral
were happy w setup,negative
this sounds great connect,positive
send demo link plz,neutral
no intrest right now,negative
im excited to explore,positive
can u provide cost structure,neutral
not open to vendors,negative
lets discuss how integrates,positive
plz send pricing guide,neutral
no intrested in service,negative
id love to review w team,positive
can u share feature comparison,neutral
not good fit for team,negative
this could be perfect send proposal,positive
send technical specs plz,neutral
no need for this,negative
im eager to learn more,positive
can u provide demo video,neutral
not fit for strategy,negative
lets schdule demo next week,positive
plz send pricing breakdown,neutral
no intrest in product,negative
id love to see in action,positive
can u share cost structure,neutral
were happy w setup,negative
this could streamline talk,positive
send feature list plz,neutral
no intrest right now,negative
im excited about oppurtunity,positive
can u provide case study,neutral
not open to vendors,negative
lets discuss in meeting,positive
plz send support plan,neutral
no intrested in service,negative
id love to explore,positive
can u share pricing guide,neutral
not good fit for us,negative
this sounds great connect,positive
send demo link plz,neutral
no intrest in product,negative
id love to review,positive
can u share feature roadmap,neutral
not fit for strategy,negative
lets set up product overview,positive
plz send technical guide,neutral
no intrest right now,negative
id love to see demo,positive
can u share cost breakdown,neutral
were happy w setup,negative
this could be perfect send proposal,positive
send pricing structure plz,neutral
no intrested in service,negative
im eager to learn more,positive
can u share demo video,neutral
not open to vendors,negative
lets discuss how integrates,positive
plz send feature comparison,neutral
no intrest in product,negative
id love to explore solution,positive
can u share pricing guide,neutral
not good fit for team,negative
this could streamline talk,positive
send support terms plz,neutral
no intrest right now,negative
im eager to see in action,positive
we already have a vendor for this,negative
sounds interesting lets set up a call,positive
yes i would love to schedule a demo,positive
yes i would love to schedule a demo,positive
what exactly does your product do,neutral
please remove me from your mailing list,negative
this could work for our team send me the proposal,positive
can you share more information,neutral
we already have a vendor for this,negative
looking forward to the meeting next week,positive
send me the details and ill review,neutral
can you share more information,neutral
please share the details im interested,positive
sounds interesting lets set up a call,positive
ill forward this to my manager,neutral
im busy this week maybe later,neutral
this could work for our team send me the proposal,positive
sounds interesting lets set up a call,positive
looking forward to the meeting next week,positive
ill forward this to my manager,neutral
can you share more information,neutral
not interested thank you,negative
can you share more information,neutral
i am not the right person to contact,negative
sounds interesting lets set up a call,positive
this could work for our team send me the proposal,positive
looking forward to the meeting next week,positive
i am not the right person to contact,negative
this could work for our team send me the proposal,positive
please share the details im interested,positive
ill forward this to my manager,neutral
can you share more information,neutral
this could work for our team send me the proposal,positive
i am not the right person to contact,negative
i am not the right person to contact,negative
please share the details im interested,positive
yes i would love to schedule a demo,positive
send me the details and ill review,neutral
i am not the right person to contact,negative
sounds interesting lets set up a call,positive
im busy this week maybe later,neutral
ill forward this to my manager,neutral
can you share more information,neutral
can you share more information,neutral
ill forward this to my manager,neutral
we dont need this solution right now,negative
what exactly does your product do,neutral
can you share more information,neutral
looking forward to the meeting next week,positive
please remove me from your mailing list,negative
not interested thank you,negative
we dont need this solution right now,negative
yes i would love to schedule a demo,positive
not interested thank you,negative
we already have a vendor for this,negative
can you share more information,neutral
can you share more information,neutral
ill forward this to my manager,neutral
looking forward to the meeting next week,positive
can you share more information,neutral
sounds interesting lets set up a call,positive
i am not the right person to contact,negative
i am not the right person to contact,negative
what exactly does your product do,neutral
yes i would love to schedule a demo,positive
please share the details im interested,positive
please remove me from your mailing list,negative
send me the details and ill review,neutral
can you share more information,neutral
send me the details and ill review,neutral
yes i would love to schedule a demo,positive
this could work for our team send me the proposal,positive
sounds interesting lets set up a call,positive
please remove me from your mailing list,negative
i am not the right person to contact,negative
this could work for our team send me the proposal,positive
can you share more information,neutral
im busy this week maybe later,neutral
looking forward to the meeting next week,positive
we dont need this solution right now,negative
please remove me from your mailing list,negative
i am not the right person to contact,negative
ill forward this to my manager,neutral
please remove me from your mailing list,negative
sounds interesting lets set up a call,positive
we already have a vendor for this,negative
please remove me from your mailing list,negative
sounds interesting lets set up a call,positive
we already have a vendor for this,negative
im busy this week maybe later,neutral
we already have a vendor for this,negative
please share the details im interested,positive
sounds interesting lets set up a call,positive
ill forward this to my manager,neutral
i am not the right person to contact,negative
can you share more information,neutral
we dont need this solution right now,negative
this could work for our team send me the proposal,positive
this could work for our team send me the proposal,positive
please share the details im interested,positive
we dont need this solution right now,negative
what exactly does your product do,neutral
we dont need this solution right now,negative
looking forward to the meeting next week,positive
what exactly does your product do,neutral
we already have a vendor for this,negative
we already have a vendor for this,negative
not interested thank you,negative
please remove me from your mailing list,negative
we dont need this solution right now,negative
im busy this week maybe later,neutral
we dont need this solution right now,negative
please share the details im interested,positive
can you share more information,neutral
ill forward this to my manager,neutral
im busy this week maybe later,neutral
im busy this week maybe later,neutral
yes i would love to schedule a demo,positive
can you share more information,neutral
looking forward to the meeting next week,positive
ill forward this to my manager,neutral
what exactly does your product do,neutral
please remove me from your mailing list,negative
not interested thank you,negative
im busy this week maybe later,neutral
we already have a vendor for this,negative
can you share more information,neutral
please share the details im interested,positive
please remove me from your mailing list,negative
sounds interesting lets set up a call,positive
we dont need this solution right now,negative
looking forward to the meeting next week,positive
please remove me from your mailing list,negative
im busy this week maybe later,neutral
ill forward this to my manager,neutral
we already have a vendor for this,negative
please share the details im interested,positive
im busy this week maybe later,neutral
send me the details and ill review,neutral
please remove me from your mailing list,negative
im busy this week maybe later,neutral
what exactly does your product do,neutral
i am not the right person to contact,negative
please share the details im interested,positive
what exactly does your product do,neutral
looking forward to the meeting next week,positive
im busy this week maybe later,neutral
yes i would love to schedule a demo,positive
we already have a vendor for this,negative
sounds interesting lets set up a call,positive
yes i would love to schedule a demo,positive
please share the details im interested,positive
we dont need this solution right now,negative
im busy this week maybe later,neutral
sounds interesting lets set up a call,positive
we already have a vendor for this,negative
yes i would love to schedule a demo,positive
can you share more information,neutral
can you share more information,neutral
i am not the right person to contact,negative
this could work for our team send me the proposal,positive
can you share more information,neutral
we dont need this solution right now,negative
please remove me from your mailing list,negative
not interested thank you,negative
sounds interesting lets set up a call,positive
please remove me from your mailing list,negative
we dont need this solution right now,negative
what exactly does your product do,neutral
sounds interesting lets set up a call,positive
we already have a vendor for this,negative
ill forward this to my manager,neutral
looking forward to the meeting next week,positive
please share the details im interested,positive
please remove me from your mailing list,negative
we already have a vendor for this,negative
please remove me from your mailing list,negative
please remove me from your mailing list,negative
send me the details and ill review,neutral
im busy this week maybe later,neutral
not interested thank you,negative
sounds interesting lets set up a call,positive
this could work for our team send me the proposal,positive
what exactly does your product do,neutral
send me the details and ill review,neutral
what exactly does your product do,neutral
ill forward this to my manager,neutral
im busy this week maybe later,neutral
im busy this week maybe later,neutral
i am not the right person to contact,negative
im busy this week maybe later,neutral
this could work for our team send me the proposal,positive
not interested thank you,negative
im busy this week maybe later,neutral
what exactly does your product do,neutral
sounds interesting lets set up a call,positive
we dont need this solution right now,negative
sounds interesting lets set up a call,positive
not interested thank you,negative
we dont need this solution right now,negative
we already have a vendor for this,negative
we already have a vendor for this,negative
we already have a vendor for this,negative
send me the details and ill review,neutral
we dont need this solution right now,negative
please remove me from your mailing list,negative
this could work for our team send me the proposal,positive
looking forward to the meeting next week,positive
i am not the right person to contact,negative
what exactly does your product do,neutral
sounds interesting lets set up a call,positive
im busy this week maybe later,neutral
not interested thank you,negative
please share the details im interested,positive
we dont need this solution right now,negative
sounds interesting lets set up a call,positive
please share the details im interested,positive
im busy this week maybe later,neutral
please share the details im interested,positive
this could work for our team send me the proposal,positive
ill forward this to my manager,neutral
ill forward this to my manager,neutral
im busy this week maybe later,neutral
we dont need this solution right now,negative
yes i would love to schedule a demo,positive
this could work for our team send me the proposal,positive
i am not the right person to contact,negative
sounds interesting lets set up a call,positive
please remove me from your mailing list,negative
yes i would love to schedule a demo,positive
please remove me from your mailing list,negative
not interested thank you,negative
this could work for our team send me the proposal,positive
send me the details and ill review,neutral
what exactly does your product do,neutral
not interested thank you,negative
this could work for our team send me the proposal,positive
not interested thank you,negative
not interested thank you,negative
can you share more information,neutral
sounds interesting lets set up a call,positive
can you share more information,neutral
i am not the right person to contact,negative
yes i would love to schedule a demo,positive
not interested thank you,negative
this could work for our team send me the proposal,positive
this could work for our team send me the proposal,positive
this could work for our team send me the proposal,positive
this could work for our team send me the proposal,positive
please remove me from your mailing list,negative
looking forward to the meeting next week,positive
we dont need this solution right now,negative
yes i would love to schedule a demo,positive
ill forward this to my manager,neutral
i am not the right person to contact,negative
please share the details im interested,positive
send me the details and ill review,neutral
sounds interesting lets set up a call,positive
not interested thank you,negative
yes i would love to schedule a demo,positive
this could work for our team send me the proposal,positive
im busy this week maybe later,neutral
looking forward to the meeting next week,positive
please share the details im interested,positive
we already have a vendor for this,negative
not interested thank you,negative
can you share more information,neutral
send me the details and ill review,neutral
please share the details im interested,positive
im busy this week maybe later,neutral
ill forward this to my manager,neutral
please share the details im interested,positive
please remove me from your mailing list,negative
yes i would love to schedule a demo,positive
looking forward to the meeting next week,positive
looking forward to the meeting next week,positive
ill forward this to my manager,neutral
ill forward this to my manager,neutral
ill forward this to my manager,neutral
this could work for our team send me the proposal,positive
looking forward to the meeting next week,positive
looking forward to the meeting next week,positive
not interested thank you,negative
what exactly does your product do,neutral
we dont need this solution right now,negative
can you share more information,neutral
send me the details and ill review,neutral
i am not the right person to contact,negative
ill forward this to my manager,neutral
i am not the right person to contact,negative
looking forward to the meeting next week,positive
we dont need this solution right now,negative
not interested thank you,negative
we dont need this solution right now,negative
can you share more information,neutral
please remove me from your mailing list,negative
ill forward this to my manager,neutral
can you share more information,neutral
send me the details and ill review,neutral
what exactly does your product do,neutral
i am not the right person to contact,negative
